features,n_features,scaler,model,seq_length,mse,rmse,mae,r2,mape
"('USM2', 'UNRATE')",2,MinMax,RNN,50,0.019123376477161405,0.1382872968756039,0.09178579933030623,0.7040224755328408,46.46883870055452
"('USM2', 'UNRATE')",2,MinMax,ANN,50,0.006461202845276033,0.08038160763057699,0.04880615162900827,0.8999982651856033,22.25612321632215
"('USM2', 'UNRATE')",2,MinMax,RANDOM_FOREST,N/A,1.230245353380792e-05,0.0035074853576042083,0.002285689621779116,0.9998095916928604,1.2229446689323191
"('USM2', 'UNRATE')",2,MinMax,XGBOOST,N/A,5.315487432604043e-05,0.0072907389423871455,0.0049073620979886755,0.9991773080378785,2.077901993811876
"('USM2', 'UNRATE')",2,Standard,LSTM,50,0.002359106970256206,0.04857063897311014,0.03615728249751445,0.9975252005825765,30.257480095776014
"('USM2', 'UNRATE')",2,Standard,GRU,50,0.00426686004700516,0.06532120671730705,0.05022599656712957,0.9955238898058918,51.50846279196239
"('USM2', 'UNRATE')",2,Standard,CNN,50,0.004302372133595529,0.06559247009829351,0.05368019519608982,0.9954866361788569,26.69510515736917
"('USM2', 'UNRATE')",2,Standard,RNN,50,0.01196635548134052,0.10939083819653508,0.08710530434925899,0.9874468051057953,33.10546841391676
"('USM2', 'UNRATE')",2,Standard,ANN,50,0.03385989931463618,0.18401059565860922,0.1223017604848775,0.9644795847944205,162.39458961709536
"('USM2', 'UNRATE')",2,Standard,RANDOM_FOREST,N/A,0.00017786466586001474,0.013336591238394268,0.008630557515360411,0.9998134127120981,6.564882092878417
"('USM2', 'UNRATE')",2,Standard,XGBOOST,N/A,0.0007493271276095978,0.02737384020574384,0.01902846549656964,0.9992139252851826,16.312544325593603
"('USM2', 'USOIL')",2,MinMax,LSTM,50,0.0014927445699676268,0.03863605272239423,0.03347004646640146,0.9768963999109432,17.731441182344998
"('USM2', 'USOIL')",2,MinMax,GRU,50,0.0026734921472322637,0.05170582314625949,0.034902626692841277,0.9586216592888176,15.759066193980548
"('USM2', 'USOIL')",2,MinMax,CNN,50,0.0015673366296922212,0.039589602545267125,0.0258163421100768,0.9757419189954752,17.707969593421925
"('USM2', 'USOIL')",2,MinMax,RNN,50,0.002075941836089865,0.04556250471703531,0.036215925724390266,0.9678701025251744,21.202054222702913
"('USM2', 'USOIL')",2,MinMax,ANN,50,0.0016364468164645732,0.040453019868293805,0.028859794424108878,0.9746722824686427,19.98066818657437
"('USM2', 'USOIL')",2,MinMax,RANDOM_FOREST,N/A,1.1680544447064636e-05,0.003417681150585092,0.002119051184577612,0.9998192171432697,0.6909071265317918
"('USM2', 'USOIL')",2,MinMax,XGBOOST,N/A,5.739441331074796e-05,0.00757591006485346,0.005097517417673655,0.9991116915786159,1.9822614118853947
"('USM2', 'USOIL')",2,Standard,LSTM,50,0.003390582860413486,0.058228711649953975,0.04484043304570597,0.9964431403096716,33.08708136533433
"('USM2', 'USOIL')",2,Standard,GRU,50,0.00768560989245215,0.0876676102814041,0.060805247240236504,0.9919374817995987,28.35695753217023
"('USM2', 'USOIL')",2,Standard,CNN,50,0.03132555896899761,0.17699027930651334,0.11925855432687897,0.9671382111687294,48.122061683923626
"('USM2', 'USOIL')",2,Standard,RNN,50,0.044200396622614824,0.21023890368486708,0.1500122755014283,0.953631981427425,107.35783138509586
"('USM2', 'USOIL')",2,Standard,ANN,50,0.08522551928415924,0.29193410092717714,0.19493198354861996,0.9105949547293573,91.28628618038476
"('USM2', 'USOIL')",2,Standard,RANDOM_FOREST,N/A,0.00011726386313093324,0.010828844034842003,0.007030829806025654,0.9998769854254935,10.364602600579204
"('USM2', 'USOIL')",2,Standard,XGBOOST,N/A,0.0007926434391490817,0.028153924045309947,0.018836903387017004,0.9991684847079157,18.1825470146158
"('USPPIYY', 'INDPRO')",2,MinMax,LSTM,50,0.0006534126392817891,0.025561937314722238,0.01986237384949317,0.9898869608271769,7.697189120525574
"('USPPIYY', 'INDPRO')",2,MinMax,GRU,50,0.0019398454475552534,0.04404367658989487,0.03274584640731219,0.9699765021045322,14.02837691296211
"('USPPIYY', 'INDPRO')",2,MinMax,CNN,50,0.0015938540069115326,0.039923101168515614,0.030551641996234294,0.9753315025779505,18.571444037980086
"('USPPIYY', 'INDPRO')",2,MinMax,RNN,50,0.002842713371013492,0.05331710205003167,0.0413069072714906,0.956002577927224,19.264082816269866
"('USPPIYY', 'INDPRO')",2,MinMax,ANN,50,0.0036138567115846674,0.060115361693868795,0.05131275709274121,0.944067389744103,34.878066005533334
"('USPPIYY', 'INDPRO')",2,MinMax,RANDOM_FOREST,N/A,3.40623438561665e-05,0.005836295388015115,0.003588479853812411,0.9994728081505827,1.657564420945576
"('USPPIYY', 'INDPRO')",2,MinMax,XGBOOST,N/A,6.757994972667095e-05,0.00822070250809935,0.005114875504851531,0.9989540473541583,1.879277837442751
"('USPPIYY', 'INDPRO')",2,Standard,LSTM,50,0.003465628102814931,0.058869585549882475,0.04394413946537016,0.9963644147900079,36.48748713778196
"('USPPIYY', 'INDPRO')",2,Standard,GRU,50,0.0011889686480887982,0.034481424681831206,0.027308820120892675,0.9987527234013872,20.753329865371576
"('USPPIYY', 'INDPRO')",2,Standard,CNN,50,0.002691228835275665,0.05187705499809781,0.033233462177289196,0.9971767912020666,47.516389806746524
"('USPPIYY', 'INDPRO')",2,Standard,RNN,50,0.010424332850291823,0.10209962218486326,0.07995909501282943,0.9890644497302603,55.94170085763932
"('USPPIYY', 'INDPRO')",2,Standard,ANN,50,0.018805685621561572,0.13713382376919844,0.09088254166033925,0.9802720688772184,82.46593301622092
"('USPPIYY', 'INDPRO')",2,Standard,RANDOM_FOREST,N/A,0.0004592067208871875,0.021429109194905593,0.013341426505365853,0.9995182734230974,11.68660876886021
"('USPPIYY', 'INDPRO')",2,Standard,XGBOOST,N/A,0.0009718938464784327,0.03117521205185993,0.01929011822362504,0.9989804437207013,22.669868675898687
"('USPPIYY', 'UNRATE')",2,MinMax,LSTM,50,0.005090755077950105,0.07134952752436491,0.05905320127631888,0.9212090455134967,41.37335591261661
"('USPPIYY', 'UNRATE')",2,MinMax,GRU,50,0.002043657049667876,0.045206825255351385,0.03363230258739058,0.9683697826509379,28.843961233980096
"('USPPIYY', 'UNRATE')",2,MinMax,CNN,50,0.0004575181828919143,0.02138967467943153,0.01680635062201718,0.9929188708211238,13.589562479049325
